tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,pickup_zip,dropoff_zip
2016-02-14T16:52:13.000+0000,2016-02-14T17:16:04.000+0000,4.94,19,10282,10171
2016-02-04T18:44:19.000+0000,2016-02-04T18:46:00.000+0000,0.28,3.5,10110,10110
2016-02-17T17:13:57.000+0000,2016-02-17T17:17:55.000+0000,0.7,5,10103,10023
2016-02-18T10:36:07.000+0000,2016-02-18T10:41:45.000+0000,0.8,6,10022,10017
2016-02-22T14:14:41.000+0000,2016-02-22T14:31:52.000+0000,4.51,17,10110,10282
2016-02-05T06:45:02.000+0000,2016-02-05T06:50:26.000+0000,1.8,7,10009,10065
2016-02-15T15:03:28.000+0000,2016-02-15T15:18:45.000+0000,2.58,12,10153,10199
2016-02-25T19:09:26.000+0000,2016-02-25T19:24:50.000+0000,1.4,11,10112,10069
2016-02-13T16:28:18.000+0000,2016-02-13T16:36:36.000+0000,1.21,7.5,10023,10153
2016-02-14T00:03:48.000+0000,2016-02-14T00:10:24.000+0000,0.6,6,10012,10003
2016-02-27T15:02:58.000+0000,2016-02-27T15:08:31.000+0000,2.02,8,10002,11211
2016-02-17T07:52:40.000+0000,2016-02-17T08:01:21.000+0000,1.5,8,10019,10199
2016-02-14T21:55:55.000+0000,2016-02-14T22:01:31.000+0000,0.93,6,10019,10018
2016-02-05T22:27:07.000+0000,2016-02-05T22:39:44.000+0000,2.34,10.5,10110,10014
2016-02-05T09:51:47.000+0000,2016-02-05T09:57:27.000+0000,0.91,5.5,10119,10199
2016-02-21T11:15:39.000+0000,2016-02-21T11:40:24.000+0000,11.6,33.5,10019,11371
2016-02-23T13:20:29.000+0000,2016-02-23T13:36:25.000+0000,1.4,11,10018,10022
2016-02-24T13:07:46.000+0000,2016-02-24T13:26:13.000+0000,2.43,13,10065,10119
2016-02-22T15:12:53.000+0000,2016-02-22T15:22:59.000+0000,1.2,8,10001,10009
2016-02-05T09:40:07.000+0000,2016-02-05T09:49:09.000+0000,1.3,7.5,10003,10013
2016-02-29T19:31:39.000+0000,2016-02-29T19:36:24.000+0000,1.19,6,10029,10028
2016-02-07T15:19:49.000+0000,2016-02-07T15:25:35.000+0000,1.47,6.5,10001,10003
2016-02-08T09:25:42.000+0000,2016-02-08T09:33:34.000+0000,1,7,10065,10154
2016-02-16T14:03:21.000+0000,2016-02-16T14:50:51.000+0000,10.32,39.5,11371,10003
2016-02-24T22:57:26.000+0000,2016-02-24T23:17:47.000+0000,9,26,11371,10110
2016-02-18T19:51:24.000+0000,2016-02-18T19:58:54.000+0000,1.29,7,10031,10030
2016-02-09T02:55:31.000+0000,2016-02-09T03:07:42.000+0000,5.9,18,10018,10030
2016-02-01T18:19:38.000+0000,2016-02-01T18:27:40.000+0000,1.2,7.5,10031,10030
2016-02-19T09:42:39.000+0000,2016-02-19T10:07:16.000+0000,4.29,19.5,10005,10003
2016-02-13T22:23:10.000+0000,2016-02-13T22:42:34.000+0000,3.5,14.5,10103,10012
2016-02-14T16:57:05.000+0000,2016-02-14T17:14:27.000+0000,1.2,11.5,10022,10019
2016-02-04T18:22:21.000+0000,2016-02-04T18:22:36.000+0000,0,52,11422,11422
2016-02-02T20:19:30.000+0000,2016-02-02T20:31:34.000+0000,2.8,11.5,10069,10029
2016-02-29T07:16:34.000+0000,2016-02-29T07:20:51.000+0000,0.7,5,10012,10003
2016-02-11T20:25:22.000+0000,2016-02-11T20:36:05.000+0000,2.66,10.5,10154,11109
2016-02-27T17:25:40.000+0000,2016-02-27T18:15:21.000+0000,1.6,7.5,10154,10001
2016-02-14T22:02:21.000+0000,2016-02-14T22:22:54.000+0000,5.41,19,10011,11231
2016-02-19T18:00:57.000+0000,2016-02-19T18:20:45.000+0000,1.98,13.5,10011,10018
2016-02-13T18:48:21.000+0000,2016-02-13T18:57:34.000+0000,1.72,8.5,10021,10021
2016-02-07T17:24:47.000+0000,2016-02-07T17:46:40.000+0000,4.3,17.5,10016,10162
2016-02-20T21:55:55.000+0000,2016-02-20T22:04:49.000+0000,1.49,8,10011,10020
2016-02-21T17:57:59.000+0000,2016-02-21T18:04:33.000+0000,1.4,6.5,10009,10009
2016-02-05T12:33:32.000+0000,2016-02-05T12:44:09.000+0000,1.1,8,10009,10012
2016-02-27T00:59:46.000+0000,2016-02-27T01:06:48.000+0000,1.46,7,10001,10016
2016-02-23T06:40:32.000+0000,2016-02-23T06:45:29.000+0000,0.84,5.5,10018,10110
2016-02-17T23:28:57.000+0000,2016-02-17T23:35:29.000+0000,1.01,6.5,10271,10006
2016-02-04T13:35:08.000+0000,2016-02-04T13:53:20.000+0000,1.3,12,10011,10020
2016-02-16T13:41:51.000+0000,2016-02-16T13:55:23.000+0000,2.24,11,10119,10013
2016-02-14T16:01:44.000+0000,2016-02-14T16:15:46.000+0000,2.1,11,10020,10011
2016-02-29T00:03:53.000+0000,2016-02-29T00:17:14.000+0000,4.8,15.5,10029,11377
2016-02-06T19:23:55.000+0000,2016-02-06T19:41:18.000+0000,1.53,12,10014,10018
2016-02-28T00:14:12.000+0000,2016-02-28T00:44:01.000+0000,7.9,26,10018,11237
2016-02-21T16:35:31.000+0000,2016-02-21T16:46:31.000+0000,1.2,8.5,10103,10065
2016-02-17T08:09:45.000+0000,2016-02-17T08:21:12.000+0000,1.63,9.5,10044,10153
2016-02-20T08:28:20.000+0000,2016-02-20T08:34:12.000+0000,0.7,5.5,10028,10028
2016-02-22T19:00:33.000+0000,2016-02-22T19:04:19.000+0000,0.49,4.5,10011,10014
2016-02-08T23:04:48.000+0000,2016-02-08T23:18:27.000+0000,2.28,10,10017,10044
2016-02-23T16:14:52.000+0000,2016-02-23T16:37:11.000+0000,1.8,14,10023,10044
2016-02-21T10:10:13.000+0000,2016-02-21T10:21:37.000+0000,2.17,10,10110,10019
2016-02-15T14:03:06.000+0000,2016-02-15T14:16:23.000+0000,2.25,11.5,10018,10023
2016-02-09T22:32:33.000+0000,2016-02-09T22:51:17.000+0000,4.46,16.5,10003,10162
2016-02-24T06:11:11.000+0000,2016-02-24T06:39:15.000+0000,8.4,27.5,11231,10018
2016-02-20T13:57:39.000+0000,2016-02-20T14:09:43.000+0000,1.8,10,10162,10103
2016-02-13T13:21:19.000+0000,2016-02-13T13:25:55.000+0000,0.59,5,10009,10011
2016-02-28T04:09:04.000+0000,2016-02-28T04:18:41.000+0000,2.91,10.5,10017,10028
2016-02-03T08:53:28.000+0000,2016-02-03T08:54:46.000+0000,0.1,3,10006,10280
2016-02-16T17:44:29.000+0000,2016-02-16T18:11:51.000+0000,2.9,17.5,10019,10003
2016-02-12T11:22:05.000+0000,2016-02-12T11:32:18.000+0000,1.46,8.5,10016,10003
2016-02-15T14:06:33.000+0000,2016-02-15T14:21:06.000+0000,2.65,12,10110,10110
2016-02-18T08:45:38.000+0000,2016-02-18T08:54:25.000+0000,0.8,7,10012,10003
2016-02-25T16:54:19.000+0000,2016-02-25T17:01:43.000+0000,1.55,7.5,10065,10023
2016-02-02T11:35:02.000+0000,2016-02-02T11:46:07.000+0000,0.82,8,10152,10110
2016-02-08T14:44:14.000+0000,2016-02-08T14:49:32.000+0000,0.73,5.5,10021,10028
2016-02-18T13:18:00.000+0000,2016-02-18T13:22:36.000+0000,0.6,5,10001,10017
2016-02-11T20:06:33.000+0000,2016-02-11T20:35:49.000+0000,4.96,21,10271,10019
2016-02-11T22:33:03.000+0000,2016-02-11T22:39:33.000+0000,3.17,11,10038,10009
2016-02-15T18:03:21.000+0000,2016-02-15T18:13:51.000+0000,1.6,8.5,11231,11215
2016-02-06T16:48:31.000+0000,2016-02-06T16:54:19.000+0000,1.06,6,10009,10017
2016-02-13T05:26:29.000+0000,2016-02-13T05:29:29.000+0000,0.2,3,10011,10011
2016-02-01T20:30:31.000+0000,2016-02-01T20:42:59.000+0000,2.33,10.5,10065,10009
2016-02-07T16:22:55.000+0000,2016-02-07T16:30:34.000+0000,1.1,7,10020,10022
2016-02-03T19:38:10.000+0000,2016-02-03T20:01:08.000+0000,3.2,16.5,10003,10021
2016-02-06T17:28:18.000+0000,2016-02-06T17:36:00.000+0000,1.37,7.5,10009,10003
2016-02-10T09:09:04.000+0000,2016-02-10T09:19:12.000+0000,0.8,8,10065,10044
2016-02-28T10:06:05.000+0000,2016-02-28T10:09:19.000+0000,0.7,4.5,10012,10011
2016-02-20T18:24:26.000+0000,2016-02-20T18:41:57.000+0000,3.11,14,10021,10001
2016-02-25T00:30:27.000+0000,2016-02-25T00:41:52.000+0000,3.22,12,10020,10012
2016-02-03T07:31:56.000+0000,2016-02-03T07:41:44.000+0000,2.2,9,10028,10171
2016-02-26T15:11:29.000+0000,2016-02-26T16:08:49.000+0000,13.1,43,10006,11371
2016-02-26T11:37:42.000+0000,2016-02-26T12:10:46.000+0000,8,27.5,10065,10034
2016-02-20T12:01:51.000+0000,2016-02-20T12:04:15.000+0000,0.3,3.5,10025,10025
2016-02-23T16:40:05.000+0000,2016-02-23T16:47:14.000+0000,1.2,6.5,10011,10001
2016-02-04T14:06:00.000+0000,2016-02-04T14:24:44.000+0000,3,14,10110,10013
2016-02-29T14:00:42.000+0000,2016-02-29T14:06:51.000+0000,1.57,7,10278,10011
2016-02-26T11:49:14.000+0000,2016-02-26T12:06:03.000+0000,2.5,13,10021,10019
2016-02-08T17:36:51.000+0000,2016-02-08T17:49:23.000+0000,2.07,10,10065,10044
2016-02-14T00:58:23.000+0000,2016-02-14T01:03:22.000+0000,0.8,5.5,10199,10018
2016-02-17T20:50:17.000+0000,2016-02-17T21:05:53.000+0000,8.45,24,11371,10017
2016-02-06T16:00:38.000+0000,2016-02-06T16:14:52.000+0000,1,10,10014,10012
2016-02-12T23:53:20.000+0000,2016-02-13T00:01:39.000+0000,0.99,7,10003,10011
2016-02-02T07:18:32.000+0000,2016-02-02T07:26:41.000+0000,1.2,7.5,10029,10044
2016-02-04T17:33:55.000+0000,2016-02-04T17:42:02.000+0000,1.32,7,10199,10014
2016-02-26T19:26:53.000+0000,2016-02-26T19:32:52.000+0000,0.97,6,10271,10278
2016-02-18T00:32:21.000+0000,2016-02-18T00:42:31.000+0000,2.7,10.5,10018,10003
2016-02-12T07:35:45.000+0000,2016-02-12T08:05:27.000+0000,4.8,20.5,10026,10022
2016-02-25T21:36:47.000+0000,2016-02-25T21:49:10.000+0000,1.85,9.5,10023,10022
2016-02-21T00:40:09.000+0000,2016-02-21T00:52:17.000+0000,3.56,12.5,10001,10028
2016-02-07T09:39:13.000+0000,2016-02-07T09:50:23.000+0000,3,12,10007,10002
2016-02-24T07:47:54.000+0000,2016-02-24T07:57:45.000+0000,0.9,7.5,10018,10167
2016-02-22T09:21:48.000+0000,2016-02-22T09:29:02.000+0000,1.1,6.5,10003,10012
2016-02-05T08:51:25.000+0000,2016-02-05T09:00:42.000+0000,1.29,8,10199,10018
2016-02-14T00:44:24.000+0000,2016-02-14T00:49:52.000+0000,1.3,6.5,10110,10022
2016-02-10T09:33:38.000+0000,2016-02-10T10:18:03.000+0000,19.42,52,11422,10026
2016-02-04T14:39:36.000+0000,2016-02-04T14:46:23.000+0000,1,6.5,10110,10119
2016-02-12T11:30:46.000+0000,2016-02-12T11:40:19.000+0000,4.7,15,10023,10031
2016-02-11T12:24:30.000+0000,2016-02-11T12:33:14.000+0000,1.8,8,10110,10011
2016-02-05T16:36:46.000+0000,2016-02-05T16:42:18.000+0000,0.86,5.5,10018,10167
2016-02-02T13:17:57.000+0000,2016-02-02T13:23:52.000+0000,0.9,6,10011,10001
2016-02-28T19:16:51.000+0000,2016-02-28T19:39:18.000+0000,3.73,16.5,10012,10001
2016-02-27T01:31:15.000+0000,2016-02-27T01:35:26.000+0000,0.6,5,10026,10027
2016-02-26T11:14:47.000+0000,2016-02-26T11:21:54.000+0000,0.97,6.5,10017,10003
2016-02-10T15:14:56.000+0000,2016-02-10T15:24:00.000+0000,1.2,8,10017,10011
2016-02-01T08:10:34.000+0000,2016-02-01T08:14:36.000+0000,1.1,5.5,10001,10011
2016-02-27T03:00:44.000+0000,2016-02-27T03:10:25.000+0000,1.7,9,10003,10110
2016-02-18T21:43:21.000+0000,2016-02-18T21:58:48.000+0000,2.99,13,10020,10009
2016-02-09T11:41:14.000+0000,2016-02-09T11:51:18.000+0000,0.9,8,10009,10009
2016-02-20T19:40:08.000+0000,2016-02-20T19:50:14.000+0000,1.91,9,10005,10002
2016-02-21T19:39:47.000+0000,2016-02-21T19:51:18.000+0000,2.17,10,10012,10018
2016-02-10T21:53:47.000+0000,2016-02-10T22:01:33.000+0000,1.4,7,10011,10020
2016-02-01T16:44:06.000+0000,2016-02-01T17:07:44.000+0000,3.49,17.5,10019,10009
2016-02-23T09:56:19.000+0000,2016-02-23T10:18:22.000+0000,3.1,15.5,10011,10154
2016-02-24T09:48:48.000+0000,2016-02-24T09:53:04.000+0000,0.49,4.5,10022,10065
2016-02-11T12:41:15.000+0000,2016-02-11T12:54:21.000+0000,1.35,9.5,10021,10153
2016-02-24T17:20:04.000+0000,2016-02-24T17:34:05.000+0000,1.2,9.5,10110,10065
2016-02-07T01:33:04.000+0000,2016-02-07T01:34:34.000+0000,0.4,3.5,10028,10028
2016-02-19T13:49:56.000+0000,2016-02-19T13:53:05.000+0000,0.51,4.5,10021,10022
2016-02-15T09:10:54.000+0000,2016-02-15T09:18:06.000+0000,1.31,7.5,10009,10003
2016-02-09T20:29:19.000+0000,2016-02-09T20:36:31.000+0000,1.21,7,10110,10017
2016-02-07T18:24:54.000+0000,2016-02-07T18:35:06.000+0000,1.2,8,10011,10009
2016-02-03T20:33:01.000+0000,2016-02-03T20:39:00.000+0000,1.38,6.5,10011,10003
2016-02-23T23:21:44.000+0000,2016-02-23T23:48:01.000+0000,6.09,23,10003,10162
2016-02-01T17:04:34.000+0000,2016-02-01T17:09:40.000+0000,0.63,5,10001,10001
2016-02-01T08:57:50.000+0000,2016-02-01T09:05:34.000+0000,0.9,6.5,10153,10021
2016-02-19T20:39:17.000+0000,2016-02-19T20:45:55.000+0000,0.9,6,10110,10001
2016-02-10T23:57:02.000+0000,2016-02-11T00:20:14.000+0000,5.5,20,10023,10278
2016-02-28T12:00:50.000+0000,2016-02-28T12:30:23.000+0000,4.25,20.5,10023,10011
2016-02-27T16:59:25.000+0000,2016-02-27T17:08:14.000+0000,1.05,7.5,10023,10020
2016-02-26T15:51:01.000+0000,2016-02-26T16:02:16.000+0000,2.3,10,10022,10009
2016-02-21T12:24:19.000+0000,2016-02-21T12:56:45.000+0000,7.95,29,10005,10025
2016-02-13T08:21:07.000+0000,2016-02-13T08:36:20.000+0000,8.2,24,11371,10167
2016-02-21T13:16:53.000+0000,2016-02-21T13:28:03.000+0000,2,10,10023,10028
2016-02-13T19:12:11.000+0000,2016-02-13T19:37:01.000+0000,2.8,16.5,10167,10023
2016-02-24T18:06:53.000+0000,2016-02-24T18:18:13.000+0000,0.87,8.5,10119,10003
2016-02-06T01:09:26.000+0000,2016-02-06T01:23:56.000+0000,1.79,11,10014,10009
2016-02-29T20:54:59.000+0000,2016-02-29T21:25:56.000+0000,6.09,24,10012,11102
2016-02-27T01:20:30.000+0000,2016-02-27T01:30:39.000+0000,1.9,9,10002,10001
2016-02-22T08:44:50.000+0000,2016-02-22T08:52:40.000+0000,1.36,7.5,10001,10012
2016-02-26T19:54:27.000+0000,2016-02-26T20:11:18.000+0000,2.45,12.5,10020,10014
2016-02-07T21:12:33.000+0000,2016-02-07T21:21:44.000+0000,2.7,10,10271,10011
2016-02-22T15:38:08.000+0000,2016-02-22T15:48:06.000+0000,1.47,8.5,10017,10009
2016-02-23T18:25:34.000+0000,2016-02-23T18:32:23.000+0000,1.17,6.5,10023,10023
2016-02-01T20:49:59.000+0000,2016-02-01T20:55:07.000+0000,0.7,5.5,10019,10153
2016-02-04T23:14:28.000+0000,2016-02-04T23:35:35.000+0000,4.1,18,10002,11222
2016-02-20T23:14:13.000+0000,2016-02-20T23:37:14.000+0000,7.8,25,10001,10032
2016-02-23T18:14:12.000+0000,2016-02-23T18:37:31.000+0000,8.3,25.5,11371,10028
2016-02-04T22:48:51.000+0000,2016-02-04T23:21:40.000+0000,10.8,34,10012,11220
2016-02-25T09:32:40.000+0000,2016-02-25T10:10:20.000+0000,7,27,10271,10065
2016-02-29T22:46:53.000+0000,2016-02-29T22:52:01.000+0000,1,5.5,10011,10009
2016-02-23T09:36:38.000+0000,2016-02-23T09:40:27.000+0000,0.59,4.5,10003,10009
2016-02-15T20:25:20.000+0000,2016-02-15T20:36:36.000+0000,2.7,11,10021,10035
2016-02-07T03:04:15.000+0000,2016-02-07T03:41:28.000+0000,15.29,45.5,10167,11416
2016-02-05T17:46:18.000+0000,2016-02-05T17:52:14.000+0000,0.6,5.5,10153,10110
2016-02-19T22:03:53.000+0000,2016-02-19T22:13:22.000+0000,2.2,9,10162,10044
2016-02-07T15:03:26.000+0000,2016-02-07T15:20:11.000+0000,2.73,13,10069,10119
2016-02-01T15:20:35.000+0000,2016-02-01T15:30:45.000+0000,1.2,8.5,10019,10171
2016-02-27T20:22:02.000+0000,2016-02-27T20:30:15.000+0000,1.36,7.5,10119,10110
2016-02-27T15:40:53.000+0000,2016-02-27T15:49:02.000+0000,1.5,7.5,10003,10110
2016-02-27T10:54:23.000+0000,2016-02-27T11:08:08.000+0000,3.5,13,10001,10028
2016-02-12T14:36:35.000+0000,2016-02-12T14:43:50.000+0000,0.5,6,10017,10167
2016-02-14T18:18:14.000+0000,2016-02-14T18:22:04.000+0000,0.56,4.5,10044,10021
2016-02-12T15:50:02.000+0000,2016-02-12T16:00:18.000+0000,1.29,8,10022,10021
2016-02-24T17:34:18.000+0000,2016-02-24T18:16:09.000+0000,8.9,36,10044,11371
2016-02-28T12:09:10.000+0000,2016-02-28T12:19:54.000+0000,2.21,9.5,10110,10021
2016-02-20T18:24:04.000+0000,2016-02-20T18:29:29.000+0000,1.24,6,10005,10278
2016-02-27T10:15:28.000+0000,2016-02-27T10:17:41.000+0000,0.85,4.5,10023,10162
2016-02-18T06:48:44.000+0000,2016-02-18T07:00:42.000+0000,2.5,11,10029,10023
2016-02-24T20:37:39.000+0000,2016-02-24T20:44:59.000+0000,2.03,8.5,10153,10029
2016-02-15T15:13:33.000+0000,2016-02-15T15:25:42.000+0000,1.3,9.5,10119,10167
2016-02-29T07:02:00.000+0000,2016-02-29T07:09:12.000+0000,1.58,7.5,10003,10110
2016-02-08T06:40:24.000+0000,2016-02-08T06:59:36.000+0000,4.6,17,10119,10026
2016-02-05T18:17:24.000+0000,2016-02-05T18:23:33.000+0000,0.8,6.5,10014,10011
2016-02-22T13:35:21.000+0000,2016-02-22T13:52:07.000+0000,3.2,14,10012,10018
2016-02-07T18:55:13.000+0000,2016-02-07T19:00:55.000+0000,1.1,6,10003,10001
2016-02-27T16:18:22.000+0000,2016-02-27T16:22:22.000+0000,0.7,5,10065,10021
2016-02-26T20:17:25.000+0000,2016-02-26T20:40:03.000+0000,6.2,21,10199,11103
2016-02-11T08:22:29.000+0000,2016-02-11T08:27:30.000+0000,0.3,5,10167,10020
2016-02-29T08:38:17.000+0000,2016-02-29T08:57:22.000+0000,3.68,16.5,10002,11211
2016-02-09T06:32:15.000+0000,2016-02-09T06:37:07.000+0000,1.5,6.5,10001,10111
2016-02-15T23:50:55.000+0000,2016-02-16T00:16:01.000+0000,9.9,30,11371,11221
2016-02-16T16:17:44.000+0000,2016-02-16T16:40:43.000+0000,3.63,16.5,10019,10003
2016-02-02T22:10:26.000+0000,2016-02-02T22:16:10.000+0000,0.8,5.5,10011,10003
2016-02-29T11:30:34.000+0000,2016-02-29T11:40:49.000+0000,1.4,8,10111,10021
2016-02-29T18:06:41.000+0000,2016-02-29T18:12:37.000+0000,0.69,5.5,10021,10021
2016-02-11T22:32:54.000+0000,2016-02-11T22:45:20.000+0000,1.8,9.5,10103,10001
2016-02-11T11:08:13.000+0000,2016-02-11T11:42:52.000+0000,8.2,30.5,10119,10026
2016-02-06T21:51:28.000+0000,2016-02-06T21:53:54.000+0000,0.82,4.5,10023,10023
2016-02-25T20:35:02.000+0000,2016-02-25T20:41:40.000+0000,1.29,7,10023,10162
2016-02-27T14:53:58.000+0000,2016-02-27T14:59:54.000+0000,0.73,5.5,10001,10199
2016-02-12T15:52:21.000+0000,2016-02-12T15:58:36.000+0000,0.52,5.5,10028,10028
2016-02-16T23:10:58.000+0000,2016-02-16T23:29:21.000+0000,5.6,19,10001,11238
2016-02-25T13:12:09.000+0000,2016-02-25T13:23:09.000+0000,0.9,8,10020,10167
2016-02-28T12:46:01.000+0000,2016-02-28T12:54:38.000+0000,1.4,8,10023,10021
2016-02-27T18:11:51.000+0000,2016-02-27T18:18:33.000+0000,1.01,6.5,10012,10011
2016-02-15T09:46:06.000+0000,2016-02-15T09:50:22.000+0000,1.1,5.5,11105,11105
2016-02-24T08:01:54.000+0000,2016-02-24T08:25:03.000+0000,4.7,18.5,10282,10103
2016-02-16T22:06:52.000+0000,2016-02-16T22:13:40.000+0000,1,6.5,10199,10018
2016-02-24T14:19:09.000+0000,2016-02-24T14:26:44.000+0000,0.85,6.5,10003,10009
2016-02-24T18:17:27.000+0000,2016-02-24T18:36:55.000+0000,1.6,13,10110,10011
2016-02-29T09:57:26.000+0000,2016-02-29T10:28:26.000+0000,3.6,19,10018,10021
2016-02-13T08:05:54.000+0000,2016-02-13T08:12:04.000+0000,1.6,7.5,10044,10029
2016-02-27T12:44:30.000+0000,2016-02-27T12:48:33.000+0000,0.6,4.5,10018,10018
2016-02-12T16:16:15.000+0000,2016-02-12T16:24:00.000+0000,1.7,7.5,10018,10069
2016-02-11T23:08:55.000+0000,2016-02-11T23:32:30.000+0000,8.43,27.5,10011,11230
2016-02-04T20:23:55.000+0000,2016-02-04T20:36:54.000+0000,2.41,10.5,10014,10110
2016-02-28T10:45:11.000+0000,2016-02-28T10:53:57.000+0000,1.2,7.5,10009,10001
2016-02-19T14:06:27.000+0000,2016-02-19T14:21:23.000+0000,1.7,10.5,10199,10003
2016-02-19T19:46:35.000+0000,2016-02-19T19:56:09.000+0000,1,7.5,10020,10119
2016-02-07T09:02:37.000+0000,2016-02-07T09:06:02.000+0000,0.8,5,10019,10020
2016-02-03T14:27:15.000+0000,2016-02-03T15:03:36.000+0000,4.37,23.5,10013,10022
2016-02-27T14:17:20.000+0000,2016-02-27T14:43:13.000+0000,3.51,17.5,10011,10065
2016-02-05T14:23:48.000+0000,2016-02-05T14:35:36.000+0000,2,10.5,10019,10162
2016-02-26T03:45:52.000+0000,2016-02-26T04:12:51.000+0000,7.7,26.5,10017,11237
2016-02-13T22:26:56.000+0000,2016-02-13T22:37:01.000+0000,1.31,8,10007,10012
2016-02-21T22:13:17.000+0000,2016-02-21T22:23:54.000+0000,1.7,9,10011,10110
2016-02-09T23:47:52.000+0000,2016-02-09T23:52:27.000+0000,1.04,5.5,11211,11222
2016-02-05T15:45:13.000+0000,2016-02-05T16:18:53.000+0000,9.19,31,10003,11371
2016-02-05T11:38:23.000+0000,2016-02-05T11:48:11.000+0000,1.56,8.5,10065,10023
2016-02-22T19:51:57.000+0000,2016-02-22T20:01:40.000+0000,3.89,13.5,10006,10002
2016-02-01T15:04:42.000+0000,2016-02-01T15:13:08.000+0000,1.05,7,10119,10110
2016-02-07T01:49:57.000+0000,2016-02-07T02:01:31.000+0000,1.5,9.5,10012,10002
2016-02-23T16:07:36.000+0000,2016-02-23T16:20:44.000+0000,1.33,9.5,10012,10278
2016-02-04T09:17:02.000+0000,2016-02-04T09:20:52.000+0000,0.7,4.5,10028,10028
2016-02-25T18:49:10.000+0000,2016-02-25T19:21:59.000+0000,9.6,32,11371,10002
2016-02-06T16:57:29.000+0000,2016-02-06T16:59:28.000+0000,0.3,3.5,10001,10001
2016-02-03T20:44:36.000+0000,2016-02-03T21:05:26.000+0000,6.1,20.5,10012,11231
2016-02-05T09:49:58.000+0000,2016-02-05T09:57:21.000+0000,0.92,6.5,10028,10028
2016-02-26T07:25:20.000+0000,2016-02-26T07:33:02.000+0000,1.5,7.5,10003,10001
2016-02-24T22:31:53.000+0000,2016-02-24T22:39:30.000+0000,1.69,7.5,10152,10021
2016-02-02T11:36:07.000+0000,2016-02-02T11:43:28.000+0000,0.7,6.5,10023,10023
